"LOCATION","Country","TRANSACT","Transaction","MEASURE","Measure","TIME","Year","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CZE","Czech Republic","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2011","2011","USD","US Dollar","6","Millions",,,227948.3497,,
"CZE","Czech Republic","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2012","2012","USD","US Dollar","6","Millions",,,207376.427,,
"CZE","Czech Republic","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2013","2013","USD","US Dollar","6","Millions",,,209402.445,,
"CZE","Czech Republic","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2014","2014","USD","US Dollar","6","Millions",,,207818.3307,,
"CZE","Czech Republic","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,186829.9405,,
"CZE","Czech Republic","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,195090.2724,,
"CZE","Czech Republic","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,215913.545,,
"CZE","Czech Republic","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2018","2018","USD","US Dollar","6","Millions",,,245225.8829,,
"DNK","Denmark","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2010","2010","USD","US Dollar","6","Millions",,,321995.2794,,
"DNK","Denmark","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2011","2011","USD","US Dollar","6","Millions",,,344003.1376,,
"DNK","Denmark","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2012","2012","USD","US Dollar","6","Millions",,,327148.9438,,
"DNK","Denmark","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2013","2013","USD","US Dollar","6","Millions",,,343584.3916,,
"DNK","Denmark","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2014","2014","USD","US Dollar","6","Millions",,,352993.6316,,
"DNK","Denmark","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,302673.0688,,
"DNK","Denmark","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,311988.1193,,
"DNK","Denmark","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,329865.5538,,
"DNK","Denmark","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2018","2018","USD","US Dollar","6","Millions",,,352058.4105,,
"FIN","Finland","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2010","2010","USD","US Dollar","6","Millions",,,249181.1905,,
"FIN","Finland","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2011","2011","USD","US Dollar","6","Millions",,,275243.6978,,
"FIN","Finland","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2012","2012","USD","US Dollar","6","Millions",,,258304.8346,,
"FIN","Finland","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2013","2013","USD","US Dollar","6","Millions",,,271285.2806,,
"FIN","Finland","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2014","2014","USD","US Dollar","6","Millions",,,274497.2308,,
"FIN","Finland","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,234585.3687,,
"FIN","Finland","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,240570.2979,,
"FIN","Finland","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,254435.0419,,
"FIN","Finland","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2018","2018","USD","US Dollar","6","Millions",,,276743.1205,,
"FRA","France","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2010","2010","USD","US Dollar","6","Millions",,,2642609.5489,,
"FRA","France","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2011","2011","USD","US Dollar","6","Millions",,,2861408.1703,,
"FRA","France","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2012","2012","USD","US Dollar","6","Millions",,,2683825.2251,,
"FRA","France","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2013","2013","USD","US Dollar","6","Millions",,,2811077.7257,,
"FRA","France","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2014","2014","USD","US Dollar","6","Millions",,,2852165.7606,,
"FRA","France","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,2438207.8963,,
"FRA","France","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,2471285.6071,,
"FRA","France","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,2586285.4066,"P","Provisional value"
"FRA","France","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2018","2018","USD","US Dollar","6","Millions",,,2777535.2393,"P","Provisional value"
"DEU","Germany","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2010","2010","USD","US Dollar","6","Millions",,,3396354.0757,,
"DEU","Germany","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2011","2011","USD","US Dollar","6","Millions",,,3744408.6027,,
"DEU","Germany","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2012","2012","USD","US Dollar","6","Millions",,,3527344.9441,,
"DEU","Germany","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2013","2013","USD","US Dollar","6","Millions",,,3732743.4462,,
"DEU","Germany","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2014","2014","USD","US Dollar","6","Millions",,,3883920.1553,,
"DEU","Germany","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,3360549.9739,,
"DEU","Germany","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,3466790.065,,
"DEU","Germany","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,3656749.4145,,
"DEU","Germany","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2018","2018","USD","US Dollar","6","Millions",,,3947620.1625,,
"GRC","Greece","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2010","2010","USD","US Dollar","6","Millions",,,299361.5766,,
"GRC","Greece","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2011","2011","USD","US Dollar","6","Millions",,,287797.8221,"P","Provisional value"
"GRC","Greece","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2012","2012","USD","US Dollar","6","Millions",,,245670.6667,"P","Provisional value"
"GRC","Greece","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2013","2013","USD","US Dollar","6","Millions",,,239862.0114,"P","Provisional value"
"GRC","Greece","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2014","2014","USD","US Dollar","6","Millions",,,237029.5793,"P","Provisional value"
"GRC","Greece","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,196591.3538,"P","Provisional value"
"GRC","Greece","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,195222.4435,"P","Provisional value"
"GRC","Greece","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,203085.5514,"P","Provisional value"
"GRC","Greece","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2018","2018","USD","US Dollar","6","Millions",,,218031.8446,"P","Provisional value"
"LUX","Luxembourg","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2010","2010","USD","US Dollar","6","Millions",,,53212.4768,,
"LUX","Luxembourg","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2011","2011","USD","US Dollar","6","Millions",,,60004.6302,,
"LUX","Luxembourg","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2012","2012","USD","US Dollar","6","Millions",,,56677.9618,,
"LUX","Luxembourg","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2013","2013","USD","US Dollar","6","Millions",,,61739.3522,,
"LUX","Luxembourg","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2014","2014","USD","US Dollar","6","Millions",,,66103.8532,,
"LUX","Luxembourg","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,57744.458,,
"LUX","Luxembourg","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2016","2016","USD","US Dollar","6","Millions",,,60691.4834,,
"LUX","Luxembourg","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2017","2017","USD","US Dollar","6","Millions",,,64023.4123,,
"LUX","Luxembourg","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2018","2018","USD","US Dollar","6","Millions",,,70885.3259,,
"MEX","Mexico","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2010","2010","USD","US Dollar","6","Millions",,,1057800.598,,
"MEX","Mexico","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2011","2011","USD","US Dollar","6","Millions",,,1180487.2264,,
"MEX","Mexico","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2012","2012","USD","US Dollar","6","Millions",,,1201093.7871,,
"MEX","Mexico","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2013","2013","USD","US Dollar","6","Millions",,,1274443.9163,,
"MEX","Mexico","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2014","2014","USD","US Dollar","6","Millions",,,1314568.9122,,
"MEX","Mexico","B1_GA","Gross domestic product (output approach)","CXC","Current prices, current exchange rates","2015","2015","USD","US Dollar","6","Millions",,,1170567.082,,
