"LOCATION","Reporter country","FLOW","Flow","PARTNER","Partner country","FREQUENCY","Frequency","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"AUS","Australia","EXP","Exports","FIN","Finland","A","Annual","2015","2015","USD","US Dollar","0","Units",,,27181775,,
"AUS","Australia","EXP","Exports","FIN","Finland","A","Annual","2016","2016","USD","US Dollar","0","Units",,,51571392,,
"AUS","Australia","EXP","Exports","FIN","Finland","A","Annual","2017","2017","USD","US Dollar","0","Units",,,44838197,,
"AUS","Australia","EXP","Exports","FIN","Finland","A","Annual","2018","2018","USD","US Dollar","0","Units",,,65826294,,
"AUS","Australia","EXP","Exports","FRA","France","A","Annual","2011","2011","USD","US Dollar","0","Units",,,1092649124,,
"AUS","Australia","EXP","Exports","FRA","France","A","Annual","2012","2012","USD","US Dollar","0","Units",,,920409007,,
"AUS","Australia","EXP","Exports","FRA","France","A","Annual","2013","2013","USD","US Dollar","0","Units",,,1157545445,,
"AUS","Australia","EXP","Exports","FRA","France","A","Annual","2014","2014","USD","US Dollar","0","Units",,,1008819993,,
"AUS","Australia","EXP","Exports","FRA","France","A","Annual","2015","2015","USD","US Dollar","0","Units",,,822999663,,
"AUS","Australia","EXP","Exports","FRA","France","A","Annual","2016","2016","USD","US Dollar","0","Units",,,778613624,,
"AUS","Australia","EXP","Exports","FRA","France","A","Annual","2017","2017","USD","US Dollar","0","Units",,,996745891,,
"AUS","Australia","EXP","Exports","FRA","France","A","Annual","2018","2018","USD","US Dollar","0","Units",,,1146178265,,
"AUS","Australia","EXP","Exports","DEU","Germany","A","Annual","2011","2011","USD","US Dollar","0","Units",,,1936154361,,
"AUS","Australia","EXP","Exports","DEU","Germany","A","Annual","2012","2012","USD","US Dollar","0","Units",,,1678758213,,
"AUS","Australia","EXP","Exports","DEU","Germany","A","Annual","2013","2013","USD","US Dollar","0","Units",,,1379235677,,
"AUS","Australia","EXP","Exports","DEU","Germany","A","Annual","2014","2014","USD","US Dollar","0","Units",,,1223377143,,
"AUS","Australia","EXP","Exports","DEU","Germany","A","Annual","2015","2015","USD","US Dollar","0","Units",,,1136426479,,
"AUS","Australia","EXP","Exports","DEU","Germany","A","Annual","2016","2016","USD","US Dollar","0","Units",,,1305684288,,
"AUS","Australia","EXP","Exports","DEU","Germany","A","Annual","2017","2017","USD","US Dollar","0","Units",,,1528996710,,
"AUS","Australia","EXP","Exports","DEU","Germany","A","Annual","2018","2018","USD","US Dollar","0","Units",,,1666033151,,
"AUS","Australia","EXP","Exports","GRC","Greece","A","Annual","2011","2011","USD","US Dollar","0","Units",,,19066432,,
"AUS","Australia","EXP","Exports","GRC","Greece","A","Annual","2012","2012","USD","US Dollar","0","Units",,,26746666,,
"AUS","Australia","EXP","Exports","GRC","Greece","A","Annual","2013","2013","USD","US Dollar","0","Units",,,10336313,,
"AUS","Australia","EXP","Exports","GRC","Greece","A","Annual","2014","2014","USD","US Dollar","0","Units",,,10971815,,
"AUS","Australia","EXP","Exports","GRC","Greece","A","Annual","2015","2015","USD","US Dollar","0","Units",,,10655465,,
"AUS","Australia","EXP","Exports","GRC","Greece","A","Annual","2016","2016","USD","US Dollar","0","Units",,,12109822,,
"AUS","Australia","EXP","Exports","GRC","Greece","A","Annual","2017","2017","USD","US Dollar","0","Units",,,14759118,,
"AUS","Australia","EXP","Exports","GRC","Greece","A","Annual","2018","2018","USD","US Dollar","0","Units",,,23623636,,
"AUS","Australia","EXP","Exports","HUN","Hungary","A","Annual","2011","2011","USD","US Dollar","0","Units",,,14407675,,
"AUS","Australia","EXP","Exports","HUN","Hungary","A","Annual","2012","2012","USD","US Dollar","0","Units",,,12091800,,
"AUS","Australia","EXP","Exports","HUN","Hungary","A","Annual","2013","2013","USD","US Dollar","0","Units",,,17604242,,
"AUS","Australia","EXP","Exports","HUN","Hungary","A","Annual","2014","2014","USD","US Dollar","0","Units",,,15895085,,
"AUS","Australia","EXP","Exports","HUN","Hungary","A","Annual","2015","2015","USD","US Dollar","0","Units",,,19018661,,
"AUS","Australia","EXP","Exports","HUN","Hungary","A","Annual","2016","2016","USD","US Dollar","0","Units",,,23712395,,
"AUS","Australia","EXP","Exports","HUN","Hungary","A","Annual","2017","2017","USD","US Dollar","0","Units",,,21536287,,
"AUS","Australia","EXP","Exports","HUN","Hungary","A","Annual","2018","2018","USD","US Dollar","0","Units",,,27096155,,
"AUS","Australia","EXP","Exports","ISL","Iceland","A","Annual","2011","2011","USD","US Dollar","0","Units",,,3173101,,
"AUS","Australia","EXP","Exports","ISL","Iceland","A","Annual","2012","2012","USD","US Dollar","0","Units",,,3662585,,
"AUS","Australia","EXP","Exports","ISL","Iceland","A","Annual","2013","2013","USD","US Dollar","0","Units",,,1595961,,
"AUS","Australia","EXP","Exports","ISL","Iceland","A","Annual","2014","2014","USD","US Dollar","0","Units",,,3751190,,
"AUS","Australia","EXP","Exports","ISL","Iceland","A","Annual","2015","2015","USD","US Dollar","0","Units",,,1546396,,
"AUS","Australia","EXP","Exports","ISL","Iceland","A","Annual","2016","2016","USD","US Dollar","0","Units",,,171869094,,
"AUS","Australia","EXP","Exports","ISL","Iceland","A","Annual","2017","2017","USD","US Dollar","0","Units",,,187477108,,
"AUS","Australia","EXP","Exports","ISL","Iceland","A","Annual","2018","2018","USD","US Dollar","0","Units",,,239293699,,
"AUS","Australia","EXP","Exports","IRL","Ireland","A","Annual","2011","2011","USD","US Dollar","0","Units",,,98727647,,
"AUS","Australia","EXP","Exports","IRL","Ireland","A","Annual","2012","2012","USD","US Dollar","0","Units",,,80109612,,
"AUS","Australia","EXP","Exports","IRL","Ireland","A","Annual","2013","2013","USD","US Dollar","0","Units",,,64693763,,
"AUS","Australia","EXP","Exports","IRL","Ireland","A","Annual","2014","2014","USD","US Dollar","0","Units",,,46337161,,
"AUS","Australia","EXP","Exports","IRL","Ireland","A","Annual","2015","2015","USD","US Dollar","0","Units",,,48155631,,
"AUS","Australia","EXP","Exports","IRL","Ireland","A","Annual","2016","2016","USD","US Dollar","0","Units",,,77132898,,
"AUS","Australia","EXP","Exports","IRL","Ireland","A","Annual","2017","2017","USD","US Dollar","0","Units",,,75282870,,
"AUS","Australia","EXP","Exports","IRL","Ireland","A","Annual","2018","2018","USD","US Dollar","0","Units",,,79436204,,
"AUS","Australia","EXP","Exports","ITA","Italy","A","Annual","2011","2011","USD","US Dollar","0","Units",,,1137659617,,
"AUS","Australia","EXP","Exports","ITA","Italy","A","Annual","2012","2012","USD","US Dollar","0","Units",,,806268526,,
"AUS","Australia","EXP","Exports","ITA","Italy","A","Annual","2013","2013","USD","US Dollar","0","Units",,,661226077,,
"AUS","Australia","EXP","Exports","ITA","Italy","A","Annual","2014","2014","USD","US Dollar","0","Units",,,585620238,,
"AUS","Australia","EXP","Exports","ITA","Italy","A","Annual","2015","2015","USD","US Dollar","0","Units",,,549864006,,
"AUS","Australia","EXP","Exports","ITA","Italy","A","Annual","2016","2016","USD","US Dollar","0","Units",,,507468095,,
"AUS","Australia","EXP","Exports","ITA","Italy","A","Annual","2017","2017","USD","US Dollar","0","Units",,,561779131,,
"AUS","Australia","EXP","Exports","ITA","Italy","A","Annual","2018","2018","USD","US Dollar","0","Units",,,628422872,,
"AUS","Australia","EXP","Exports","JPN","Japan","A","Annual","2011","2011","USD","US Dollar","0","Units",,,41582449862,,
"AUS","Australia","EXP","Exports","JPN","Japan","A","Annual","2012","2012","USD","US Dollar","0","Units",,,36641054073,,
"AUS","Australia","EXP","Exports","JPN","Japan","A","Annual","2013","2013","USD","US Dollar","0","Units",,,31193119531,,
"AUS","Australia","EXP","Exports","JPN","Japan","A","Annual","2014","2014","USD","US Dollar","0","Units",,,27482929393,,
"AUS","Australia","EXP","Exports","JPN","Japan","A","Annual","2015","2015","USD","US Dollar","0","Units",,,20505085409,,
